San Leandro,City,Alameda,"84,950",13.34,34.6,"March 21, 1872"
San Luis Obispo,City,San Luis Obispo,"45,119",12.78,33.1,"February 16, 1856"
San Marcos,City,San Diego,"83,781",24.37,63.1,28-Jan-63
San Marino,City,Los Angeles,"13,147",3.77,9.8,25-Apr-13
San Mateo,City,San Mateo,"97,207",12.13,31.4,"September 4, 1894"
San Pablo,City,Contra Costa,"29,139",2.63,6.8,27-Apr-48
San Rafael,City,Marin,"57,713",16.47,42.7,"February 18, 1874"
San Ramon,City,Contra Costa,"72,148",18.06,46.8,1-Jul-83
Sand City,City,Monterey,334,0.56,1.5,31-May-60
Sanger,City,Fresno,"24,270",5.52,14.3,9-May-11
Santa Ana,City,Orange,"324,528",27.27,70.6,"June 1, 1886"
Santa Barbara,City,Santa Barbara,"88,410",19.47,50.4,"April 9, 1850"
Santa Clara,City,Santa Clara,"116,468",18.41,47.7,"July 5, 1852"
Santa Clarita,City,Los Angeles,"176,320",52.72,136.5,15-Dec-87
Santa Cruz,City,Santa Cruz,"59,946",12.74,33,"March 31, 1866"
Santa Fe Springs,City,Los Angeles,"16,223",8.87,23,15-May-57
Santa Maria,City,Santa Barbara,"99,553",22.76,58.9,12-Sep-05
Santa Monica,City,Los Angeles,"89,736",8.41,21.8,"November 30, 1886"
Santa Paula,City,Ventura,"29,321",4.59,11.9,22-Apr-02
Santa Rosa,City,Sonoma,"167,815",41.29,106.9,"March 26, 1868"
Santee,City,San Diego,"53,413",16.24,42.1,1-Dec-80
Saratoga,City,Santa Clara,"29,926",12.38,32.1,22-Oct-56
